epoch,train_total_loss,train_gender_loss,train_age_loss,train_gender_accuracy,train_age_mae,train_age_rmse,val_total_loss,val_gender_loss,val_age_loss,val_gender_accuracy,val_age_mae,val_age_rmse
1,12.360255069894501,0.6009430288784614,11.759312042550407,0.7103650552558529,12.246870033401219,16.81896419798504,10.302276786235483,0.4765039563179016,9.825772795429042,0.7713080168776372,10.309545958528371,14.832095517769776
2,9.138947320647508,0.45735319203118685,8.68159411967859,0.7856806159325407,9.162388294443542,12.788013975235774,9.313100863643168,0.40051147132986203,8.912589368270252,0.8157524613220816,9.392237770305908,13.54363712943894
3,8.168021101540269,0.38775642542200206,7.78026467793672,0.8264285340177028,8.256536730012717,11.570455619625568,7.816371347934385,0.38504766167132326,7.431323696088187,0.8165963431786216,7.905300044879296,11.16983381260024
4,7.558262742022112,0.361959909694101,7.1963028216233385,0.8395747132456921,7.671641457332458,10.814244645144383,7.376507103996437,0.32450050615224824,7.052006611240564,0.8455696202531645,7.528643494081564,10.734501576094168
5,7.063705034255482,0.3320066440144773,6.731698392379442,0.8558110302204996,7.205490181034372,10.231830700052331,7.16931101400641,0.32059263385800874,6.848718361244256,0.8551336146272855,7.322720701751495,10.439403311159865
6,6.778954491809847,0.32295003245064546,6.456004458812885,0.8604200492327031,6.929209322013569,9.817649692293553,7.118622385768113,0.3145606976604998,6.804061682281279,0.8562587904360056,7.277719931729903,10.511160229085663
7,6.5327999323976425,0.30733732894497706,6.225462593490592,0.8671764521028649,6.6972995854557915,9.529532545912934,7.071675941209753,0.30575934976297425,6.765916603023996,0.870323488045007,7.243585316675457,10.218780983215717
8,6.281885365895876,0.29765184449280424,5.98423352326679,0.8746137327816478,6.455469658830196,9.182639077750055,7.548353795294353,0.3225355424626132,7.225818280194547,0.8478199718706048,7.702929953616715,10.722414653793166
9,6.091200411029405,0.2848381220776183,5.806362268430593,0.8781752474728958,6.276401360538302,8.930261027679165,7.081627869103025,0.2855461304868492,6.7960817672364655,0.8824191279887482,7.270884599430819,10.077106947947852
10,5.881891514864998,0.2873984108280625,5.59449312245247,0.877913371392657,6.063583369228343,8.598603400426795,7.1998167649603095,0.3077359756253104,6.892080803293048,0.8739803094233474,7.36455979488067,10.612923243385525
11,5.724757560644468,0.28130958198748685,5.443447984420616,0.879694128738281,5.912524279320352,8.420603549023108,6.828221846901079,0.28959635135661366,6.538625455338576,0.8804500703234881,7.016039764361375,9.878504126509748
12,5.602197852384699,0.2779928757559602,5.324204971271719,0.8843031477504845,5.791891822980772,8.2603726241253,6.564618812700532,0.28150906606397885,6.283109764979023,0.8720112517580872,6.75656076852447,9.726403796473686
13,5.472247856618448,0.2698195229007844,5.2024283394633475,0.8851411512072487,5.670593503071827,8.069131266356207,6.512996208416259,0.2774380830269826,6.235558113334216,0.8812939521800282,6.708540299170128,9.627102081354778
14,5.233944462548567,0.2652551662704628,4.968689300175679,0.8890692924108312,5.434481182486991,7.742710436575595,6.911986465293144,0.2848585969368952,6.627127842158708,0.8815752461322082,7.10346601140147,9.98635616462266
15,5.1966961417260364,0.26499034855365505,4.931705795175801,0.8849840255591054,5.397649460626062,7.710852704674205,6.62944193409465,0.2787969194551728,6.350644971952157,0.8821378340365682,6.824267483696488,9.621014753751556
16,5.079262292510598,0.25867381630589187,4.820588490664912,0.8933116849107002,5.2862995523121,7.543160957005838,6.531698221563454,0.2884964881147849,6.243201752352815,0.8818565400843882,6.7162886307041685,9.51143338077531
17,4.864612817876667,0.25412319435594666,4.610489618457931,0.8923165558057927,5.076005181540478,7.247052635368146,6.730223615729524,0.28372246706033055,6.446501135256052,0.8818565400843882,6.919905491653206,9.883084763501172
18,4.740124084485843,0.24810373969717534,4.492020341191567,0.8957209448488975,4.957276845136921,7.058155898478574,7.00436916512276,0.315250334650823,6.689118783685226,0.8683544303797468,7.163972458121814,9.92771550945131
19,4.6317886614670885,0.24712853488744863,4.384660136123391,0.8982349552191903,4.848725329048317,6.924960182881663,6.477081971899534,0.30847180390156775,6.168610178468599,0.8807313642756681,6.641109109226662,9.5155560935218
20,4.528067875175674,0.2358585092537263,4.2922093666462064,0.9019535955585817,4.755238065448382,6.793461810898633,6.635026448621361,0.27965898287866353,6.355367416135034,0.8846694796061885,6.827460075195999,9.966928954441645
21,4.447306859139243,0.23793748950058236,4.209369380384308,0.9016917194783428,4.671869013324838,6.675533466026689,6.58871365559252,0.3108684551447588,6.277845191419041,0.8739803094233474,6.748295363628747,9.626712256025936
