epoch,train_total_loss,train_gender_loss,train_age_loss,train_gender_accuracy,train_age_mae,train_age_rmse,val_total_loss,val_gender_loss,val_age_loss,val_gender_accuracy,val_age_mae,val_age_rmse
1,12.99463347823123,0.6501440090651912,12.34448944215482,0.6936660037365154,12.83253738604711,17.627606514248743,10.490681138823303,0.4746662596442361,10.016014886740725,0.7718706047819972,10.500546019992749,15.201144012134282
2,9.625384861325324,0.46765782211225315,9.157727075989564,0.7758693424938227,9.640455811175876,13.544933614057692,11.885390863002772,0.4221694124063527,11.463221442414403,0.8202531645569621,11.949077871244835,16.689677922973836
3,8.559403804286381,0.40555601567793287,8.15384779520724,0.8163683480985958,8.632738243870428,12.114014183167885,9.470975952041133,0.36091458322964975,9.11006135390613,0.8407876230661041,9.585275564716838,13.510403647479079
4,7.887054792631889,0.37659747310812114,7.510457331597004,0.831856807087326,7.986887856704564,11.252087125118134,7.693905235376372,0.3582106719791638,7.335694512100327,0.8337552742616033,7.8108351137400005,11.288900910706777
5,7.435895217662621,0.35621821838491957,7.0796769902308565,0.840595431808594,7.554518578317334,10.695492780180075,8.261842853744657,0.34008422809981764,7.92175867185311,0.8379746835443038,8.393903738201587,12.181311060452531
6,7.027649924889156,0.3343504293132114,6.6932994893911495,0.8520460435123245,7.167479183160467,10.077134606716513,7.265807915806938,0.32708899781170775,6.938718894228821,0.8562587904360056,7.411066412087399,10.617227343918607
7,6.818102841925278,0.31627015100352796,6.501832690124291,0.8604230699692641,6.976664697011082,9.82506363692643,7.741299466107633,0.32127922246895424,7.420020227123748,0.8579465541490858,7.89590027027157,11.463816575420065
8,6.555184204597222,0.3121074872072441,6.243076721381762,0.8607846682335925,6.716635938134151,9.488893905648242,7.507066208132544,0.3037432285552286,7.203322963741426,0.8666666666666667,7.681691719409283,10.726127342983006
9,6.33789468223964,0.3016434500041853,6.036251236228136,0.8643403844994877,6.5078339945420085,9.201652351999133,6.844728895045199,0.30636283104345935,6.538366043584424,0.8652601969057665,7.011167132971827,10.186085534808628
10,6.1632826759192625,0.2995098217947318,5.863772855776024,0.8685590309166517,6.334026447710649,8.996537387817671,6.646312687333291,0.28728845194925234,6.359024254413932,0.8736990154711674,6.830219647585927,9.950832297693244
11,5.893000762558742,0.2869294408958241,5.606071320751409,0.8720544808051588,6.077286024547102,8.61020509967895,7.070007590067203,0.29161673530244625,6.778390851939613,0.8725738396624473,7.253946880013295,10.125423308976355
12,5.806848387056382,0.28468187288494257,5.52216650350094,0.8741638040137407,5.991540287514172,8.531014551464017,7.045234819404183,0.30835282296235716,6.736881990338848,0.8632911392405064,7.209302667759977,10.59955815346767
13,5.614660691763791,0.2771336849082237,5.337527005932383,0.8782619176761285,5.806708891367471,8.242802408998102,7.1028571637203255,0.2915903813644468,6.811266783755875,0.8632911392405064,7.286312123659458,10.387504610746623
14,5.458947234147138,0.2733652600452222,5.18558199289428,0.8807328391490388,5.653410691375264,8.032331182082414,6.932555375454631,0.301766003117112,6.630789338821432,0.8683544303797468,7.102109009304127,10.182343891502251
15,5.453915502152449,0.2676303647748171,5.1862851363700315,0.8835050925088893,5.655808984396335,8.011928082697438,6.478732797700477,0.3110319651799531,6.167700842362416,0.8765119549929676,6.63944671244561,9.563565841113064
16,5.253468709735437,0.25663317920559175,4.996835535174503,0.8854336165853071,5.4647248164156075,7.7675718128628635,6.55991597396915,0.2978498303689031,6.262066144715214,0.8790436005625879,6.733773065451664,9.638313947817416
17,5.1962088317241175,0.2588471255782054,4.937361692251453,0.8880853371903815,5.404968094353017,7.659877337115503,6.6546404416048075,0.30978411014405316,6.3448563201518,0.860196905766526,6.81295830878192,10.068012501755858
18,4.986527047306434,0.25716705146752883,4.729360004463672,0.8884469354547098,5.196405258918983,7.342856619331132,6.794842866234974,0.2809571274892858,6.5138857630905385,0.8765119549929676,6.9851015544306545,10.257545234291142
19,4.974583227523935,0.24858883879272803,4.7259943834848634,0.8925450491170975,5.191235275788124,7.332946276234316,6.591265411752521,0.2816182833180649,6.309647113462038,0.8827004219409282,6.78033869618605,9.625219101977677
20,4.793536776366389,0.23929738444861845,4.554239382531467,0.8968842282890376,5.019555094099416,7.143009354605083,6.460985995747369,0.29005955055293153,6.170926407922672,0.8739803094233474,6.642018681135862,9.658189692522273
21,4.663569039665668,0.23879548444430665,4.424773554211965,0.8972458265533658,4.889130681489135,6.9763133551306735,6.413086882589906,0.2760633081155823,6.13702359152578,0.8843881856540085,6.610027988181671,9.463844986274154
