epoch,train_total_loss,train_gender_loss,train_age_loss,train_gender_accuracy,train_age_mae,train_age_rmse,val_total_loss,val_gender_loss,val_age_loss,val_gender_accuracy,val_age_mae,val_age_rmse
1,14.065548660626845,0.6732496321847913,13.392299015569563,0.662749352136443,13.882831937414839,18.676164466690803,11.657109129378565,0.5151818644313034,11.141927274068196,0.7451476793248946,11.631257743137965,15.728698536237303
2,11.271168373207686,0.5554400287312179,10.715728344225017,0.7223527993732297,11.20310987455177,15.431648211026184,11.277371669184474,0.4892147794722169,10.788156868871589,0.7639943741209564,11.272149477930512,16.07872083999317
3,10.387359695236858,0.5120610027512095,9.875298715015651,0.7496534683300187,10.36009108808296,14.376074990994509,10.117830141284799,0.5235728631039712,9.594257284719733,0.7482419127988749,10.077755707259252,14.577599308551578
4,9.75813081094515,0.49239543958252824,9.265735343676079,0.7627915386006148,9.749994849365544,13.624823631045848,9.519754892126585,0.43945391411184426,9.080300991310517,0.7839662447257384,9.561328519882867,13.872946005408856
5,9.307716164330005,0.46414101215230186,8.843575154938275,0.7788223949858374,9.325447461851207,13.074543805615093,8.908408392196634,0.41423113444183446,8.494177303770256,0.8002812939521801,8.976174106946642,12.618276452634449
6,9.00827750465376,0.44670857550085885,8.561568916666568,0.7882842162357621,9.042685666495519,12.705947896601504,9.419944624223454,0.4266831335052324,8.993261455315913,0.8028129395218003,9.473079774751945,13.913255710407219
7,8.674067278505484,0.4316598890627773,8.242407405641535,0.7955764478997167,8.72289694031604,12.321507375942582,8.724735717666132,0.4041372371457632,8.320598455018635,0.8149085794655415,8.801619715093729,12.169890216701194
8,8.431249100800011,0.4130341250965567,8.01821497391456,0.8091966491894172,8.497973962394251,11.980399591478058,8.499175231332686,0.3740532262080497,8.125121967567841,0.830098452883263,8.60300086084465,12.316225920154805
9,8.185409384567526,0.39794317978434096,7.787466202478817,0.8120894353040439,8.264783709474392,11.665566648534453,8.184611240821548,0.35570673662566604,7.828904469807942,0.8343178621659635,8.308280745236683,11.858568571685055
10,8.001153718122685,0.38837396014608183,7.612779765996092,0.8211896582896402,8.089191491713196,11.431498759320638,8.322028138365926,0.3486239716305847,7.973404158553326,0.8436005625879044,8.452907428124451,11.710890654476534
11,7.891184892345781,0.37755728547262585,7.513627609637319,0.8299282830109083,7.989667126550917,11.325424086445063,7.941168843576509,0.35308995989639885,7.588078899088456,0.8371308016877637,8.06530384004703,11.637978431302594
12,7.6623657493014266,0.369357099302752,7.293008645749154,0.8301693485204604,7.768527800470855,10.987251505029993,7.938328007672574,0.3394687586109011,7.598859274605323,0.850351617440225,8.076241134021185,11.482893318289271
13,7.530205603110843,0.3664035919521857,7.163802010840751,0.8327005363707588,7.6393015499479375,10.797921356026862,7.979051597208916,0.3395057650558053,7.639545857554246,0.8416315049226442,8.11756432126846,11.427136135926068
